attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,class
0,1,1,32,0,0,0,1,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,404,1,0,0,0,0,0,0,0,-1
0,0,1,133,0,0,1,0,0,0,0,0,0,0,437,0,0,0,1,0,0,0,0,0,189,0,1,0,1,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,-1
0,0,0,109,0,0,0,1,0,0,0,0,0,0,812,1,0,0,1,0,0,0,0,0,455,1,1,0,0,0,0,0,0,0,0,0,0,0,0,404,1,0,0,0,0,0,0,0,-1
0,0,0,113,0,0,0,1,0,0,0,0,0,0,812,1,0,0,1,0,0,0,0,0,400,0,0,0,0,0,1,52,0,0,0,0,0,0,0,404,0,0,0,1,0,1,0,0,1
0,0,0,120,0,0,0,1,0,0,0,0,0,0,562,0,0,0,1,1,0,0,0,0,233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,303,0,1,0,0,0,0,0,0,-1
0,0,0,121,0,0,0,1,0,0,0,0,0,0,624,0,0,0,1,0,0,0,0,0,444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,404,1,0,0,0,0,1,0,0,1
0,0,0,76,0,0,1,1,0,0,0,0,0,0,874,1,0,0,1,0,0,0,0,0,377,0,1,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,1,0,0,-1
0,0,1,16,0,0,0,1,0,0,0,0,0,0,562,1,0,0,1,0,0,0,0,0,244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,404,1,0,0,0,0,0,0,0,-1
0,0,0,30,0,0,1,1,0,0,0,0,0,0,437,0,0,0,1,0,0,0,0,0,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,202,0,1,0,0,0,0,0,0,-1
0,0,0,110,0,0,0,1,0,433,0,0,0,0,812,1,0,0,1,0,0,0,0,0,455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,505,0,0,0,1,0,1,0,0,1
0,0,1,51,1,0,0,0,0,0,0,0,0,0,624,0,0,0,1,0,0,0,0,0,633,0,0,0,1,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,1,-1
0,0,0,152,0,0,0,0,0,0,0,0,1,0,562,1,0,0,1,0,0,0,0,1,533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,404,0,0,0,1,0,0,0,0,-1
0,0,1,123,0,0,0,1,0,0,0,0,0,0,562,1,0,0,1,0,0,0,0,0,677,0,0,0,0,0,1,0,0,0,0,0,0,0,0,404,0,0,0,1,0,0,0,0,1
0,0,0,138,0,0,1,1,0,430,0,0,1,0,562,1,0,0,0,0,0,0,0,0,366,0,1,0,0,0,0,0,0,0,0,1,0,0,0,505,0,0,0,0,0,0,0,0,-1
0,0,0,160,0,0,0,1,0,0,0,0,1,0,624,1,0,0,0,0,0,0,0,0,622,0,0,1,0,0,1,0,0,0,0,0,0,0,0,414,0,0,0,1,0,0,0,0,1
0,0,0,90,0,0,0,1,0,0,0,0,0,0,562,1,0,0,1,0,0,1,0,0,422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,454,0,0,0,1,0,0,0,0,-1
